Latin	Mnemonic	Family	Authority	Notes	aka	past_code
Oenocarpus mapora	oenoma	Arecaceae	H.Karst.	Formerly O. panamanus, in Croat and in the first census. 	Oenocarpus mapoura;Oenocarpus panamanus	oenm
Oreopanax capitatus	oreoca	Araliaceae	(Jacq.) Decne. & Planch.	Croat includes this, but it did not appear in the 50-ha plot until 2010. The sole individual then died by 2015.		orec
Ormosia amazonica	ormoam	Fabaceae-papilionoideae	Ducke	Not in Croat but identified in 1982 census.		orma
Ormosia coccinea	ormocr	Fabaceae-papilionoideae	(Aubl.) Jacks.	Current identification for a moderately common tree in the plot. Croat listed this form as O. croatii, an unofficial name, but it has been identified at Tropicos in 1978 (MO Dillon). N. Zamora confirmed in 2007 (pers. Comm. To N. Hensold).	Ormosia croatii	ormc
Ormosia macrocalyx	ormoma	Fabaceae-papilionoideae	Ducke			ormm
Ouratea lucens	ouralu	Ochnaceae	(Kunth) Engl.			ourl
Pachira sessilis	pochse	Malvaceae	Benth.	Bombacopsis sessilis according to Croat. In 1996 paper, it appeared as Pochota sessilis, but we updated to Pachira sessilis for 2004 paper. See genus discussion under P. quinata	Bombacopsis sessilis;Pochota sessilis	boms
Palicourea acuminata	psycac	Rubiaceae	(Benth.) Borhidi	Formerly Psychotria acumintata. Several psychotria moved to Palicourea due to improved character understanding (see Psych. acuminata).	Palicourea cuspidata;Psychotria acuminata	
Palicourea brachiata	psycb1	Rubiaceae	(Sw.) Borhidi	Formerly Psychotria brachiata, and appearing under that old name in 1996 paper.	Psychotria brachiata	
Palicourea cyanococca	psycpi	Rubiaceae	(Seem. ex Dombrain) Borhidi		Psychotria cyanococca;Psychotria pittieri	
Palicourea deflexa	psycde	Rubiaceae	(DC.) Borhidi	Formerly Psychotria deflexa, and appearing under that old name in 1996 and 2004 papers.	Psychotria deflexa	
Palicourea guianensis	paligu	Rubiaceae	Aubl.			palg
Palicourea hoffmannseggiana	psycfu	Rubiaceae	(Willd. ex Roem. & Schult.) Borhidi	Psychotria furcata in Croat and the 1996 paper. Later Psychotria hoffmannseggiana before it was moved under Palicourea with many other Psychotria. 	Psychotria furcata;Psychotria hoffmannseggiana	
Palicourea racemosa	psycra	Rubiaceae	(Aubl.) Borhidi	Formerly Psychotria racemosa, and appearing under that old name in 1996 and 2004 papers.	Psychotria racemosa	
Pavonia dasypetala	lopida	Malvaceae	Turcz.	Formerly Lopimia dasypetala, following Croat, but this is the widely accepted classification, placing Lopimia within Pavonia (Fryxell). Hammel et al VI (2007) uses P. dasypetala without even mentioning Lopimia as synonym. This appears under the old L. dasypetala in 1996 and 2004 papers.	Lopimia dasypetala	pavd
Pentagonia macrophylla	pentma	Rubiaceae	Benth.			penm
Perebea xanthochyma	perexa	Moraceae	H.Karst.			perx
Picramnia latifolia	picrla	Picramniaceae	Tul.			picl
Piper aequale	pipeae	Piperaceae	Vahl			ppae
Piper arboreum	pipea1	Piperaceae	Aubl.			ppa1
Piper colonense	pipecu	Piperaceae	C.DC.		Piper culebranum	ppcu
Piper cordulatum	pipeco	Piperaceae	C. DC.			ppco
Piper imperiale	pipeim	Piperaceae	(Miq.) C.DC.	Croat had this correct, and our 1996 paper had it correct. At one point, the misspelling P. imperialis got in our database.	Piper imperialis	ppim
Piper longispicum	pipelo	Piperaceae	C.DC.	First identified in 50-ha plot in 2015. Not in Croat nor in 1996 or 2004 papers.		
Piper perlasense	pipepe	Piperaceae	Yunck.			pppe
Piper reticulatum	pipere	Piperaceae	L.			ppre
Piper schiedeanum	pipeca	Piperaceae	Steud.	Formerly P. carrilloanum in our data, and the 1996 paper, but we now follow Tebbs and use P. schiedeanum. However, a substantial confusion has arisen because Callejas identified many of Croat's BCI specimens as P. paulowniifolium. Flora Nicaragua by Callejas??	Piper carrilloanum	ppca
Platymiscium pinnatum	pla1pi	Fabaceae-papilionoideae	(Jacq.) Dugand			plap
Platypodium elegans	pla2el	Fabaceae-papilionoideae	Vogel			plae
Pochota quinata	pochqu	Bombacaceae		This has been our most convoluted series of name changes. This was first Bombacopsis quinata, then Pochota quinata (which appears in 1996 paper), then Pachira quinata (in the 2004 paper), but now back to Pochota quinata. However, Pachira sessilis remains. See notes under Pachira quinata.	Bombacopsis quinata;Pachira quinata	bomq
Pombalia prunifolia	hybapr	Violaceae	(Humb. & Bonpl. ex Willd.) Paula-Souza	Originally Hybanthus prunifolius following Croat. Several new genera will be needed for Hybanthus (de Paula Souza and Balland 2014). See notes with H. prunifolius.	Hybanthus prunifolius	hybp
Posoqueria latifolia	posola	Rubiaceae	(Rudge) Schult.			posl
Poulsenia armata	poular	Moraceae	(Miq.) Standl.			poua
Pourouma bicolor	pourbi	Urticaceae	Mart.	This was P. guianensis in Croat, but we followed Berg and changed to this by the late 1980s. P. bicolor appears in 1996 and 2004 papers. A Tropicos specimen now carries the name P. chocoana, but Berg used P. bicolor subsp. chocoana and this is still accepted everywhere (see Flora Mes, CR).	Pourouma guianensis	poug
Pouteria fossicola	poutfo	Sapotaceae	Cronquist			pouf
Pouteria reticulata	poutre	Sapotaceae	(Engl.) Eyma	We originally followed Croat and called this P. unilocularis, a C. American taxon. Pennington lumped it and 4 other species, and the combined group is widespread and variable. We switched before any publicacions, so this appears as P. reticulata in both 1996 and 2004 papers.	Pouteria unilocularis	pouu
Pouteria stipitata	poutst	Sapotaceae	Cronquist			pou2
Prioria copaifera	pri2co	Fabaceae-caesalpinioideae	Griseb.			pric
Protium confusum	protsp	Burseraceae	(Rose) Pittier	This Protium could not be identified from Croat and was censused as a morphospecies until 2000, called Protium skinny; in the 1996 paper it was called Protium sp. nov. It was finally matched to P. confusum, not a new species.	Protium skinny;Protium sp. nov.	pros
Protium costaricense	protco	Burseraceae	(Rose) Engl.			proc
Protium panamense	protpa	Burseraceae	(Rose) I.M.Johnst.			prop
Protium tenuifolium subsp. sessiliflorum	protte	Burseraceae	Engl.	A subspecies distinct from the BCI species, known only at two distant plots.  	Protium tenuifolium	
Pseudobombax septenatum	pse1se	Malvaceae	(Jacq.) Dugand			pse1
Psidium friedrichsthalianum	psidfr	Myrtaceae	(O.Berg) Nied.			psif
Psychotria chagrensis	psycch	Rubiaceae	Standl.			pych
Psychotria graciliflora	psycg1	Rubiaceae	Benth.	Not in Croat but identified in 1982 census.		pyg1
Psychotria grandis	psycg3	Rubiaceae	Sw.			pyg3
Psychotria horizontalis	psycho	Rubiaceae	Sw.			pyho
Psychotria limonensis	psycli	Rubiaceae	K.Krause			pyli
Psychotria marginata	psycma	Rubiaceae	Sw.			pyma
Psychotria psychotriifolia	psycps	Rubiaceae	(Seem.) Standl.	Croat includes this, but it did not appear in the 50-ha plot until 1995 and is thus not in the 1996 paper.		
Psychotria tenuifolia	psycg2	Rubiaceae	Sw.	Formerly P. granadensis and published under that name in 1996 paper. Hamilton (1989) synonomized under this widespread S. American form, and Taylor (pers. comm.) agrees.	Psychotria granadensis	pyg2
Pterocarpus hayesii	pterro	Fabaceae-papilionoideae	Hemsl.	Formerly P. rohrii, and that old name was used in 1996 and 2004 papers.	Pterocarpus rohrii	pter
Pterocarpus officinalis	pterof	Fabaceae-papilionoideae	Jacq.	A swamp species, rare on BCI, only 9 in plot and dying off. We listed it as P. belizensis in 1996 paper,  but that appears to be a miscommunication. This has always been P. officianalis since Croat's identification.	Pterocarpus belizense;Pterocarpus belizensis	pterbe;pteb;pteo
Quararibea asterolepis	quaras	Malvaceae	Pittier	Whether BCI specimens belong in Q. asterolepis subsp. stenophylla, Q. stenophylla, or Q. asterolepis, is unresolved at Tropicos.		qua1
Quassia amara	quasam	Simaroubaceae	L.			qua2
Randia armata	randar	Rubiaceae	(Sw.) DC.			rana
Rauvolfia littoralis	rauvli	Apocynaceae	Rusby	Does not appear in Croat. Discovered on BCI in 50-ha plot in 1995 census.		
Rinorea sylvatica	rinosy	Violaceae	(Seem.) Kuntze			rin2
Rosenbergiodendron formosum	randfo	Rubiaceae	(Jacq.) Fagerl.	Formerly Randia formosa and appearing as such in 1996 paper, changed to Rosenbergiodendron formosum by 2004 paper. This and 3 other species were shown to be outside Randia (DNA and morphology). The species circumscription was nearly unchanged, though a Guyana segregate was split, so the new R. formosum has a slightly smaller range (Taylor pers. comm.).	Randia formosa	ranf
Sapium broadleaf	sapisp	Euphorbiaceae			Sapium sp 1;Sapium sp. nov.	saps
Sapium glandulosum	sapiau	Euphorbiaceae	(L.) Morong	Krujit synonomized S. aucuparium with this. R. Liesner identifed BCI specimens as S. glandulosum. 	Sapium aucuparium;Sapium caudatum	sapc
Schefflera morototoni	sch2mo	Araliaceae	(Aubl.) Maguire, Steyerm. & Frodin	We originally used Didymopanax morototoni for this, following Croat. But Frodin (1975) moved the entire genus Didymopanax into Schefflera, as new species added blurred distinctions. A DNA phylogeny confirmed this (Fiaschi & Plunkett 2011). We had the correct S. morototoni in the 1996 and 2004 papers.	Didymopanax morototoni	didm
Schizolobium parahyba	schipa	Fabaceae-caesalpinioideae	(Vell.) S.F. Blake	This is the correct spelling of Croat's S. parahybum. We had the bad spelling in 1996 paper but corrected in database afterwards.	Schizolobium parahybum	schp
Senna dariensis	sennda	Fabaceae-caesalpinioideae	(Britton & Rose) H.S. Irwin & Barneby	Formerly Cassia fruticosa, but we had corrected to Senna by the 1996 and 2004 papers. Irwin and Barneby 1982 split Cassia into 3 genera, including Senna. Reviewed in Marazzi, with DNA phylogeny confirming monophyly of Senna. Known as S. dariensis var. gatunensis in Tropicos.	Cassia fruticosa	casf
Simarouba amara	simaam	Simaroubaceae	Aubl.			sima
Siparuna cristata	sipacr	Siparunaceae	(Poepp. & Endl.) A. DC.	On BCI, this was formerly identified as S. guianensis, following Croat. Renner re-identified the Tropicos on BCI specimens as S. cristata in 1999. See notes with S. guianensis.	Siparuna guianensis	sipg
Siparuna pauciflora	sipapa	Siparunaceae	(Beurl.) A. DC.			sipp
Sloanea terniflora	sloate	Elaeocarpaceae	(Moc. & Sessé ex DC.) Standl.			sloa3;slot
Socratea exorrhiza	socrex	Arecaceae	(Mart.) H.Wendl.	We used this in 1996 and 2004 papers, changing from Croat, who called this S. durissima. See notes there. Henderson (1997) lumped S. durissima with the S. American S. exorrhiza.	Socratea durissima	soce
Solanum arboreum	solaar	Solanaceae	Dunal			sol2
Solanum asperum	solaas	Solanaceae	Rich.			sola
Solanum circinatum	cyphha	Solanaceae	Bohs	Bohs (1995) collapsed entire genus Cyphomandra into Solanum. DNA phylogeny shows both it and Lycopersicon nested within Solanum. No change in species circumscription.	Cyphomandra hartwegii	cyph
Solanum hayesii	solaha	Solanaceae	Fernald			solh
Solanum lepidotum	solast	Solanaceae	Dunal	Nee says Panama and Andes specimens should be this, while E. Brazil specimens are different. So Brazil specimens were first argenteum, changed to lepidotum by Soto, changed back to argenteum by Nee	Solanum argenteum;Solanum steyemarkii;Solanum steyermarkii	sol3
Sorocea affinis	soroaf	Moraceae	Hemsl.			sora
Spachea membranacea	spacme	Malpighiaceae	Cuatrec.			spam
Spondias mombin	sponmo	Anacardiaceae	L.			spom
Spondias radlkoferi	sponra	Anacardiaceae	Donn.Sm.			spor
Sterculia apetala	sterap	Malvaceae	(Jacq.) H.Karst.			stea
Stylogyne turbacensis	stylst	Myrsinaceae	(Kunth) Mez	Formerly S. standleyi, in both 1996 and 2004 paper. We since switched to S. turbacensis, following the monograph of Ricketson and Pipoly (1997).	Stylogyne standleyi	stys
Swartzia simplex var. continentalis	swars2	Fabaceae-papilionoideae	(Sw.) Spreng.	Formerly S. s. var. ochnaceae, and appearing as the latter in 1996 and 2004 papers. 	Swartzia simplex var. ochnacea	swa2
Swartzia simplex var. grandiflora	swars1	Fabaceae-papilionoideae	(Sw.) Spreng.	Formerly S. s. var. ochnaceae, and appearing as the latter in 1996 and 2004 papers. 		swa1
Symphonia globulifera	sympgl	Clusiaceae	L.f.			symg
Tabebuia rosea	tab1ro	Bignoniaceae	(Bertol.) DC.			tabr
Tabernaemontana arborea	tab2ar	Apocynaceae	Rose ex J.D.Sm.			taba
Tabernaemontana grandiflora	stemgr	Apocynaceae	Jacq.	Formerly Stemmadenia grandiflora, appearing as such in 1996 and 2004 papers. We are following Morales and placing it in Tabernaemontana.	Stemmadenia grandiflora	steg
Tachigali panamensis	tachve	Fabaceae-caesalpinioideae	van der Werff & N.Zamora	Formerly T. versicolor, following Croat, but van der Werff in 2010 erected this new name for Panama specimens. This appears as T. versicolor in 1996 and 2004 papers.	Tachigalia versicolor;Tachigali versicolor	tacv
Talisia croatii	talipr	Sapindaceae	Acev.-Rodr.	Formerly T. princeps, but Acevedo-Rodriguez described in 2003, Fl. Neotrop.	Talisia princeps	talp
Talisia nervosa	taline	Sapindaceae	Radlk.			taln
Terminalia amazonia	termam	Combretaceae	(J.F.Gmel.) Exell	We followed Croat’s error and spelled this incorrectly as T. amazonica through the 1996 paper. It was corrected in 2004 paper.	Terminalia amazonica	tera
Terminalia oblonga	termob	Combretaceae	(Ruiz & Pav.) Steud.	Our name since the plot began. Croat used T. chiriquensis, but that was synonomized before 1982. See Fl. Nic.	Terminalia chiriquensis	tero
Ternstroemia tepezapote	ternte	Pentaphylacaceae	Schltdl. & Cham.			tert
Tetragastris panamensis	tet2pa	Burseraceae	(Engl.) Kuntze			tet2
Tetrathylacium johansenii	tet4jo	Salicaceae	Standl.			tetj
Theobroma cacao	theoca	Malvaceae	L.			thec
Thevetia ahouai	thevah	Apocynaceae	(L.) A.DC.			thea
Tocoyena pittieri	tocopi	Rubiaceae	(Standl.) Standl.			tocp
Trattinnickia aspera	tratas	Burseraceae	(Standl.) Swart			traa
Trema integerrima	tremin	Cannabaceae	(Beurl.) Standl.	Croat mentioned this taxon, but did not consider it present on BCI. In 2010, we reassessed the genus and recognized several individuals in the 50-ha plot as belonging to T. integerrima, formerly identified as T. micrantha. See notes with Trema unidentified.		
Trema micrantha	tremmi	Cannabaceae	(L.) Blume	All Trema in the 50-ha plot were identified as this species until 2010. But several individuals that had been alive prior to 2010 (one back to 1990) were reidentified, forcing us to reassess the genus. See notes with Trema unidentified.		trem
Trema unidentified	tremsp	Cannabaceae		Because we reassessed the genus in 2010, any individuals of Trema that had died earlier could not be reidentified, and all are now called Trema unidentified.		
Trichanthera gigantea	tri1gi	Acanthaceae	(Bonpl.) Nees			trig
Trichilia pallida	tri2pa	Meliaceae	Sw.	Listed as T. montana in Croat, but we had changed to T. pallida before the plot began (Pennington 1981).	Trichilia montana	tri1
Trichilia tuberculata	tri2tu	Meliaceae	(Triana & Planch.) C. DC.	Listed as T. cipo in Croat, but we had corrected to T. tuberculata before the plot began (Pennington 1981).	Trichilia cipo	tri3
Trichospermum galeottii	tri4ga	Malvaceae	(Turcz.) Kosterm.	Croat listed as T. mexicanum, but that name was obsolete by the early 1980s. BCI specimens renamed by Meijer in 1980 (see Fl. Nic.). 	Trichospermum mexicanum	tri6
Triplaris cumingiana	tripcu	Polygonaceae	Fisch. & C.A.Mey.			tric
Trophis caucana	olmeas	Moraceae	(Pittier) C.C. Berg	Originally Olmedia aspera, and that older name appeared in 1996 paper. Updated to Trophis caucana, following Berg (1988). See notes under Olmedia.	Olmedia aspera	olma
Trophis racemosa	tropra	Moraceae	(L.) Urb.			tror
Turpinia occidentalis	turpoc	Tapisciaceae	(Sw.) G.Don			turo
Unidentified species	uniden	Unknown				
Unonopsis pittieri	unonpi	Annonaceae	Saff.			unop
Urera baccifera	urerba	Urticaceae	(L.) Gaudich. ex Wedd.	Not in Croat but identified in 1982 census.		ureb
Vachellia melanoceras	acacme	Fabaceae	(Beurl.) Seigler & Ebinger	Formerly Acacia melanoceras through 2015, following Croat’s originally name. A long-running and heated debate finally ended around 2010 with the American Acacia settling in two new genera, Vachellia and Senegalia.  	Acacia melanoceras	aca1
Vasconcellea cauliflora	carica	Caricaceae	(Jacq.) A.DC.	This species appears in Croat as Carica cauliflora, but the species was not found in the 50-ha plot until 2010. We identified it in other plots in the 1990s, though, using the old name, but it is now updated to V. califlora in our database. (Badillo 2000 in Ernstia).	Carica cauliflora	carc
Verbesina gigantea	verbgi	Asteraceae	Jacq.	Croat included this taxon, but it was not identified in the 50-ha plot until the 2000 census and thus does not appear in 1996 paper.		
Virola multiflora	virosp	Myristicaceae	(Standl.) A.C.Sm.	Labeled as unidentified morphospecies V. bozo in original BCI census, and listed as Virola sp. nov. in 1996 paper. By the 2004 paper, it was identified and appears as V. mutliflora there.	Virola bozo;Virola sp. nov.	vir3
Virola nobilis	virosu	Myristicaceae	A.C. Sm.	Croat published V. surinamensis for the tallest BCI Virola, but lists V. nobilis as a synonym, and originally identified specimens as V. nobilis. Later, Gentry incorrectly reidentified as V. surinamensis. Rodriguez in 2007 identified BCI specimens as V. nobilis, but Tropicos has both names in Panama and Costa Rica. 	Virola surinamensis	vir2
Virola sebifera	virose	Myristicaceae	Aubl.			vir1
Vismia baccifera	vismba	Clusiaceae	(L.) Triana & Planch.			vis1
Vismia billbergiana	vismbi	Clusiaceae	Beurl.			vis2
Vismia macrophylla	vismma	Clusiaceae	Kunth			vism
Vochysia ferruginea	vochfe	Vochysiaceae	Mart.			vocf
Xylopia macrantha	xyl1ma	Annonaceae	Triana & Planch.			xylm
Xylosma chlorantha	xyl2ch	Salicaceae	Donn.Sm.	Croat misspelled this X. chloranthum and we repeated the error in the 1996 paper.	Xylosma chloranthum	xylc
Xylosma oligandra	xyl2ol	Salicaceae	Donn. Sm.	Croat misspelled this X. oligandrum and we repeated the error in the 1996 paper.	Xylosma oligandrum	xylo
Zanthoxylum acuminatum	zantpr	Rutaceae	(Sw.) Sw.	Originally Z. procerum in Croat, and in our 1996 paper under that name. We then used Z. juniperinum for some time, and that's how it appeared in 2004 paper. Reynel identified all BCI specimens at Tropicos as this in 1993, with subsp. juniperinum.	Zanthoxylum procerum	zan2
Zanthoxylum ekmanii	zantbe	Rutaceae	(Urb.) Alain	Formerly Z. belizense, reidentified by Reynel in 1993 at Tropicos.	Zanthoxylum belizense	zanb
Zanthoxylum panamense	zantp1	Rutaceae	P.Wilson		Zanthoxylum juniperinum	zan1
Zanthoxylum setulosum	zantse	Rutaceae	P.Wilson			zans
Zuelania guidonia	zuelgu	Salicaceae	(Sw.) Britton & Millsp.			zueg
