SPCODE	GENUS	SPECIES	FAMILY	LIANA
PRESOB	Prestonia	obovata	Apocynaceae	l
PRESPO	Prestonia	portobellensis	Apocynaceae	l
PRESAC	Prestonia	quinquangularis	Apocynaceae	l
PRES1	Prestonia	sp.1	Apocynaceae	l
PRES2	Prestonia	sp.2	Apocynaceae	l
PRI1AS	Prionostemma	aspera	Hippocrateaceae	l
PRI2CO	Prioria	copaifera	Fabaceae:Caesal.	
PROCCR	Prockia	crucis	Flacourtiaceae	
PROSJU	Prosopis	juliflora	Fabaceae:Mimos.	
PROTGU	Protium	aff.guianense	Burseraceae	
PROTSP	Protium	confusum	Burseraceae	
PROTCO	Protium	costaricense	Burseraceae	
PROTGL	Protium	glabrum	Burseraceae	
PROTPA	Protium	panamense	Burseraceae	
PROTTE	Protium	tenuifolium	Burseraceae	
PROTT2	Protium	tenuifolium_subsp.mcleodii	Burseraceae	
PROTTR	Protium	trifoliolatum	Burseraceae	
PSE3FR	Pseudima	frutescens	Sapindaceae	
PSE1SE	Pseudobombax	septenatum	Bombacaceae	
PSE2LA	Pseudolmedia	laevigata	Moraceae	
PSE2SP	Pseudolmedia	spuria	Moraceae	
ALBIGU	Pseudosamanea	guachapele	Fabaceae:Mimos.	
PSEUAC	Pseudosicydium	acariianthum	Cucurbitaceae	l
PSIDFR	Psidium	friedrichsthalianum	Myrtaceae	
PSIDGU	Psidium	guajava	Myrtaceae	
PSIDG1	Psidium	guineense	Myrtaceae	
PSIGBI	Psiguria	triphylla	Cucurbitaceae	l
PSIGWA	Psiguria	warscewiczii	Cucurbitaceae	l
PSYCAC	Psychotria	acuminata	Rubiaceae	
PSYCAL	Psychotria	allenii	Rubiaceae	
PSYCB1	Psychotria	brachiata	Rubiaceae	
PSYCB2	Psychotria	brachybotrya	Rubiaceae	
PSYCCA	Psychotria	calophylla	Rubiaceae	
PSYCC1	Psychotria	capitata	Rubiaceae	
PSYCCH	Psychotria	chagrensis	Rubiaceae	
PSYCCI	Psychotria	cincta	Rubiaceae	
PSYCPI	Psychotria	cyanococca	Rubiaceae	
PSYCDE	Psychotria	deflexa	Rubiaceae	
PSYCEL	Psychotria	elata	Rubiaceae	
PSYCER	Psychotria	erecta	Rubiaceae	
PSYCGL	Psychotria	glomerulata	Rubiaceae	
PSYCG1	Psychotria	graciliflora	Rubiaceae	
PSYCG3	Psychotria	grandis	Rubiaceae	
PSYCFU	Psychotria	hoffmannseggiana	Rubiaceae	
PSYCHO	Psychotria	horizontalis	Rubiaceae	
PSYCLI	Psychotria	limonensis	Rubiaceae	
PSYCLU	Psychotria	luxurians	Rubiaceae	
PSYCMA	Psychotria	marginata	Rubiaceae	
PSYCMI	Psychotria	micrantha	Rubiaceae	
PSYCNE	Psychotria	nervosa	Rubiaceae	
PSYCPA	Psychotria	panamensis	Rubiaceae	
PSYCPO	Psychotria	poeppigiana	Rubiaceae	
PSYCPS	Psychotria	psychotriifolia	Rubiaceae	
PSYCPU	Psychotria	pubescens	Rubiaceae	
PSYCRA	Psychotria	racemosa	Rubiaceae	
PSYCRE	Psychotria	remota	Rubiaceae	
PSYCSA	Psychotria	santaritensis	Rubiaceae	
PSYC4	Psychotria	sp.4	Rubiaceae	
PSYCSU	Psychotria	suerrensis	Rubiaceae	
PSYCG2	Psychotria	tenuifolia	Rubiaceae	
PSYCUM	Psychotria	umbelliformis	Rubiaceae	
PTERAC	Pterocarpus	acapulcensis	Fabaceae:Papil.	
PTEROF	Pterocarpus	officinalis	Fabaceae:Papil.	
PTERRO	Pterocarpus	rohrii	Fabaceae:Papil.	
PTER2	Pterocarpus	sp.2	Fabaceae:Papil.	
PTER3	Pterocarpus	sp.3	Fabaceae:Papil.	
QUALPO	Qualea	polychroma	Vochysiaceae	
QUARAS	Quararibea	asterolepis	Bombacaceae	
QUARA1	Quararibea	asterolepis_ss:stenophylla	Bombacaceae	
QUARPL	Quararibea	platyphylla	Bombacaceae	
QUARPT	Quararibea	pterocalyx	Bombacaceae	
QUARPU	Quararibea	pumila	Bombacaceae	
QUAR3	Quararibea	sp.3	Bombacaceae	
QUAR4	Quararibea	sp.4	Bombacaceae	
QUASAM	Quassia	amara	Simaroubaceae	
QUERIN	Quercus	insignis	Fagaceae	
QUETOC	Quetzalia	occidentalis	Celastraceae	
QUIISC	Quiina	schippii	Quiinaceae	
RAND4	Randia	'campo_chagres'	Rubiaceae	
RANDAC	Randia	aculeata	Rubiaceae	
RANDAR	Randia	armata	Rubiaceae	
RANDGR	Randia	grandifolia	Rubiaceae	
RANDHO	Randia	hondensis	Rubiaceae	
RANDLA	Randia	lasiantha	Rubiaceae	
RAND2	Randia	sp.2	Rubiaceae	
RAND3	Randia	sp.3	Rubiaceae	
RAPHTA	Raphia	taedigera	Arecaceae	
RARIPA	Raritebe	palicoureoides	Rubiaceae	
RAUVAP	Rauvolfia	aphlebia	Apocynaceae	
RAUVLI	Rauvolfia	littoralis	Apocynaceae	
RAUVPU	Rauvolfia	purpurascens	Apocynaceae	
RHABBI	Rhabdadenia	biflora	Apocynaceae	l
RHAMSH	Rhamnus	sharpii	Rhamnaceae	
RHIZMA	Rhizophora	mangle	Rhizophoraceae	
RHYCPY	Rhynchosia	pyramidalis	Fabaceae:faboid.	l
RICICO	Ricinus	communis	Euphorbiaceae	
RINOAP	Rinorea	aff.apiculata	Violaceae	
RINOCR	Rinorea	crenata	Violaceae	
RINODA	Rinorea	dasyadena	Violaceae	
RINOHU	Rinorea	hummelii	Violaceae	
RINOLI	Rinorea	lindeniana	Violaceae	
RINO2	Rinorea	sp.2	Violaceae	
RINO3	Rinorea	sp.3	Violaceae	
RINO4	Rinorea	sp.4 (p19)	Violaceae	
RINOSQ	Rinorea	squamata	Violaceae	
RINOSY	Rinorea	sylvatica	Violaceae	
RONDAM	Rogiera	amoena	Rubiaceae	
ROLLMU	Rollinia	mucosa	Annonaceae	
ROLLPI	Rollinia	pittieri	Annonaceae	
RONDPA	Rondeletia	panamensis	Rubiaceae	
RANDFO	Rosenbergiodendron	formosum	Rubiaceae	
ROUPMO	Roupala	montana	Proteaceae	
ROUPPE	Roupala	percoriacea	Proteaceae	
ROURGL	Rourea	glabra	Connaraceae	l
ROYSRE	Roystonea	regia	Arecaceae	
RUDGCO	Rudgea	cornifolia	Rubiaceae	
RUDGIS	Rudgea	isthmensis	Rubiaceae	
RUDGPI	Rudgea	pittieri	Rubiaceae	
RUDGSK	Rudgea	skutchii	Rubiaceae	
RUDG1	Rudgea	sp.1	Rubiaceae	
RUPRCO	Ruprechtia	costata	Polygonaceae	
RUPTCA	Ruptiliocarpon	caracolito	Lepidobotryaceae	
RYANSP	Ryania	speciosa	Flacourtiaceae	
SABIVI	Sabicea	villosa	Rubiaceae	l
SACOOV	Sacoglottis	ovicarpa	Humiriaceae	
SACOTR	Sacoglottis	trichogyna	Humiriaceae	
SALAJU	Salacia	juruana	Hippocrateaceae	
SALAPE	Salacia	petenensis	Hippocrateaceae	
SAMASA	Samanea	saman	Fabaceae:Mimos.	
SAP1SA	Sapindus	saponaria	Sapindaceae	
SAPISP	Sapium	'broadleaf'	Euphorbiaceae	
SAPIAU	Sapium	glandulosum	Euphorbiaceae	
SAPILA	Sapium	laurifolium	Euphorbiaceae	
SAPIPA	Sapium	pachystachys	Euphorbiaceae	
SAPI2	Sapium	sp.2	Euphorbiaceae	
SARCBR	Sarcaulus	brasiliensis	Sapotaceae	
SAURMO	Saurauia	montana	Actinidiaceae	
SAURRU	Saurauia	rubiformis	Actinidiaceae	
SAURLA	Saurauia	yasicae	Actinidiaceae	
SCH2MO	Schefflera	morototoni	Araliaceae	
SCHIPA	Schizolobium	parahyba	Fabaceae:Caesal.	
SCHOPA	Schoenobiblus	panamensis	Thymelaeaceae	
SCH3VA	Schoepfia	vacciniiflora	Olacaceae	
SCIAEX	Sciadodendron	excelsum	Araliaceae	
SCIANI	Sciadotenia	nitida	Menispermaceae	l
SCLECO	Sclerolobium	costaricense	Fabaceae:Caesal.	
SECUDI	Securidaca	diversifolia	Polygalaceae	l
SENNBI	Senna	bicapsularis	Fabaceae:Caesal.	
SENNDA	Senna	dariensis	Fabaceae:Caesal.	
SENNRE	Senna	reticulata	Fabaceae:Caesal.	
SENNUN	Senna	undulata	Fabaceae	l
SERJAT	Serjania	atrolineata	Sapindaceae	l
SERJCI	Serjania	circumvallata	Sapindaceae	l
SERJCO	Serjania	cornigera	Sapindaceae	l
SERJDE	Serjania	decapleuria	Sapindaceae	l
SERJM1	Serjania	membranacea	Sapindaceae	l
SERJME	Serjania	mexicana	Sapindaceae	l
SERJPA	Serjania	paucidentata	Sapindaceae	l
SERJPL	Serjania	pluvialiflorens	Sapindaceae	l
SERJRH	Serjania	rhombea	Sapindaceae	l
SERJTR	Serjania	trachygona	Sapindaceae	l
SICYCO	Sicydium	coriaceum	Cucurbitaceae	l
SIDECA	Sideroxylon	capiri	Sapotaceae	
SIDECE	Sideroxylon	celastrinum	Sapotaceae	
SIDECO	Sideroxylon	cf.contrerasii	Sapotaceae	
SIDEPE	Sideroxylon	persimile	Sapotaceae	
SIM1CE	Simaba	cedron	Simaroubaceae	
SIM1PO	Simaba	polyphylla	Simaroubaceae	
SIMAAM	Simarouba	amara	Simaroubaceae	
SIMIMA	Simira	maxonii	Rubiaceae	
SIPACO	Siparuna	conica	Monimiaceae	
SIPACU	Siparuna	cuspidata	Monimiaceae	
SIPAGR	Siparuna	grandiflora	Monimiaceae	
SIPAGU	Siparuna	guianensis	Monimiaceae	
SIPAPA	Siparuna	pauciflora	Monimiaceae	
SIPA3	Siparuna	sp.3	Monimiaceae	
SIPA5	Siparuna	sp.5	Monimiaceae	
SIPATH	Siparuna	thecaphora	Monimiaceae	
SLOACE	Sloanea	'cerrojefe'	Elaeocarpaceae	
SLOALA	Sloanea	aff.laurifolia	Elaeocarpaceae	
SLOAGR	Sloanea	grandiflora	Elaeocarpaceae	
SLOAM2	Sloanea	medusula	Elaeocarpaceae	
SLOAME	Sloanea	megaphylla	Elaeocarpaceae	
SLOAM1	Sloanea	meianthera	Elaeocarpaceae	
SLOAOB	Sloanea	obtusifolia	Elaeocarpaceae	
SLOA5	Sloanea	sp.5	Elaeocarpaceae	
SLOA6	Sloanea	sp.6	Elaeocarpaceae	
SLOA7	Sloanea	sp.7	Elaeocarpaceae	
SLOA8	Sloanea	sp.8	Elaeocarpaceae	
SLOA9	Sloanea	sp.9	Elaeocarpaceae	
SLOATE	Sloanea	terniflora	Elaeocarpaceae	
SLOATU	Sloanea	tuerckheimii	Elaeocarpaceae	
SLOAZU	Sloanea	zuliaensis	Elaeocarpaceae	
SMILLA	Smilax	domingensis	Smilacaceae	l
SMILMO	Smilax	mollis	Smilacaceae	l
SMILPA	Smilax	panamensis	Smilacaceae	l
SMIL	Smilax	sp.	Smilacaceae	l
SMIL1	Smilax	sp.1	Smilacaceae	l
SMILS1	Smilax	spinosa	Smilacaceae	l
SMILS2	Smilax	spissa	Smilacaceae	l
SOCREX	Socratea	exorrhiza	Arecaceae	
SOLA5	Solanum	'enves_purpura'	Solanaceae	
SOLAAR	Solanum	arboreum	Solanaceae	
SOLAAS	Solanum	asperum	Solanaceae	
SOLAAT	Solanum	aturense	Solanaceae	
SOLAAT	Solanum	aturense	Solanaceae	l
CYPHHA	Solanum	circinatum	Solanaceae	
SOLAEX	Solanum	cordovense	Solanaceae	
SOLAHA	Solanum	hayesii	Solanaceae	
SOLAH1	Solanum	hazenii	Solanaceae	
SOLALA	Solanum	lancaeifolium	Solanaceae	l
SOLASI	Solanum	siparunoides	Solanaceae	
SOLA3	Solanum	sp.3	Solanaceae	
SOLAST	Solanum	steyermarkii	Solanaceae	
SOMMDO	Sommera	donnell-smithii	Rubiaceae	
SOROAF	Sorocea	affinis	Moraceae	
SOROP1	Sorocea	pubivena_ss:oligotricha	Moraceae	
SOROPU	Sorocea	pubivena_ss:pubivena	Moraceae	
SOURSY	Souroubea	sympetala	Marcgraviaceae	l
SPACCO	Spachea	correae	Malpighiaceae	
SPACME	Spachea	membranacea	Malpighiaceae	
SPATCA	Spathodea	campanulata	Bignoniaceae	
SPONCY	Spondias	dulcis	Anacardiaceae	
SPONMO	Spondias	mombin	Anacardiaceae	
SPONPU	Spondias	purpurea	Anacardiaceae	
SPONRA	Spondias	radlkoferi	Anacardiaceae	
STACDI	Stachyarrhena	heterochroa	Rubiaceae	
STAUPE	Stauranthus	perforatus	Rutaceae	
STEMAL	Stemmadenia	alfari	Apocynaceae	
STEMGR	Stemmadenia	grandiflora	Apocynaceae	
STEMOB	Stemmadenia	obovata	Apocynaceae	
STEM1	Stemmadenia	sp.1	Apocynaceae	
STEM3	Stemmadenia	sp.3	Apocynaceae	
STERAP	Sterculia	apetala	Sterculiaceae	
STERGL	Sterculia	costaricana var. glauca	Sterculiaceae	
STERRE	Sterculia	recordiana	Sterculiaceae	
STER2	Sterculia	sp.2	Sterculiaceae	
STIGEL	Stigmaphyllon	ellipticum	Malpighiaceae	l
STIGHY	Stigmaphyllon	hypargyreum	Malpighiaceae	l
STIGLI	Stigmaphyllon	lindenianum	Malpighiaceae	l
STIGPU	Stigmaphyllon	puberum	Malpighiaceae	l
STIZIN	Stizophyllum	inaequilaterum	Bignoniaceae	l
STIZRI	Stizophyllum	riparium	Bignoniaceae	l
STRYBR	Strychnos	brachistantha	Loganiaceae	l
STRYDA	Strychnos	darienensis	Loganiaceae	l
STRYPA	Strychnos	panamensis	Loganiaceae	l
STRY1	Strychnos	sp.1	Loganiaceae	
STRYTO	Strychnos	toxifera	Loganiaceae	l
STYLST	Stylogyne	turbacensis	Myrsinaceae	
SWARSU	Swartzia	aff.sumorum	Fabaceae:Papil.	
SWARPA	Swartzia	panamensis	Fabaceae:Papil.	
SWARS1	Swartzia	simplex_var.grandiflora	Fabaceae:Papil.	
SWARS2	Swartzia	simplex_var.ochnacea	Fabaceae:Papil.	
SWIEMA	Swietenia	macrophylla	Meliaceae	
SYMPGL	Symphonia	globulifera	Clusiaceae	
SYM1PA	Symplocos	panamensis	Symplocaceae	
SYNEWA	Synechanthus	warscewiczianus	Arecaceae	
SYZYJA	Syzygium	jambos	Myrtaceae	
SYZYMA	Syzygium	malaccense	Myrtaceae	
TAB1GU	Tabebuia	guayacan	Bignoniaceae	
TAB1OC	Tabebuia	ochracea	Bignoniaceae	
TAB1RO	Tabebuia	rosea	Bignoniaceae	
TAB1ST	Tabebuia	striata	Bignoniaceae	
TAB2AR	Tabernaemontana	arborea	Apocynaceae	
TAB2DI	Tabernaemontana	divaricata	Apocynaceae	
TAB2PE	Tabernaemontana	longipes	Apocynaceae	
TAB2PA	Tabernaemontana	panamensis	Apocynaceae	
TAB2UN	Tabernaemontana	undulata	Apocynaceae	
TACHVE	Tachigali	versicolor	Fabaceae:Caesal.	
TALAGL	Talauma	gloriensis	Magnoliaceae	
TALASA	Talauma	sambuensis	Magnoliaceae	
HIBIPE	Talipariti	tiliaceum_var.pernambucens	Malvaceae	
TALIPR	Talisia	croatii	Sapindaceae	
TALINE	Talisia	nervosa	Sapindaceae	
TAMAIN	Tamarindus	indica	Fabaceae:Caesal.	
TAPIGU	Tapirira	guianensis	Anacardiaceae	
TAPUCU	Tapura	cubensis	Dichapetalaceae	
CYNARE	Tassadia	obovata	Asclepiadaceae	l
TECOST	Tecoma	stans	Bignoniaceae	
TECTGR	Tectona	grandis	Verbenaceae	
TERMAM	Terminalia	amazonia	Combretaceae	
TERMBU	Terminalia	bucidoides	Combretaceae	
TERMCA	Terminalia	catappa	Combretaceae	
TERMMY	Terminalia	myriocarpa	Combretaceae	
TERMOB	Terminalia	oblonga	Combretaceae	
TERM1	Terminalia	sp.1	Combretaceae	
TERM2	Terminalia	sp.2	Combretaceae	
TERNTE	Ternstroemia	tepezapote	Theaceae	
TESSGO	Tessmannianthus	gordonii	Melastomataceae	
TET1HY	Tetracera	hydrophila	Dilleniaceae	l
TET1PO	Tetracera	portobellensis	Dilleniaceae	l
TET1VO	Tetracera	volubilis	Dilleniaceae	l
TET2PA	Tetragastris	panamensis	Burseraceae	
TET3DI	Tetrapterys	discolor	Malpighiaceae	l
TET3GO	Tetrapterys	goudotiana	Malpighiaceae	l
TET3SE	Tetrapterys	seemannii	Malpighiaceae	l
TET31	Tetrapterys	sp.1	Malpighiaceae	l
TET3MA	Tetrapterys	tinifolia	Malpighiaceae	l
TET4JO	Tetrathylacium	johansenii	Flacourtiaceae	
TET4MA	Tetrathylacium	macrophyllum	Flacourtiaceae	
TET5EU	Tetrorchidium	euryphyllum	Euphorbiaceae	
TET5GO	Tetrorchidium	gorgonae	Euphorbiaceae	
THEOBE	Theobroma	bernoullii	Sterculiaceae	
THEOBI	Theobroma	bicolor	Sterculiaceae	
THEOCA	Theobroma	cacao	Sterculiaceae	
THEOMA	Theobroma	mammosum	Sterculiaceae	
THEOCH	Theobroma	simiarum	Sterculiaceae	
THEOSP	Theobroma	speciosum	Sterculiaceae	
THESPO	Thespesia	populnea	Malvaceae	
THEVAH	Thevetia	ahouai	Apocynaceae	
THINMY	Thinouia	myriantha	Sapindaceae	l
TIBOBI	Tibouchina	bipenicillata	Melastomataceae	
WULFBA	Tilesia	baccata	Asteraceae	l
TOC1GU	Tococa	guianensis	Melastomataceae	
TOCOPI	Tocoyena	pittieri	Rubiaceae	
TONTOV	Tontelea	ovalifolia_subsp._ richardii	Hippocrateaceae	l
TOURBI	Tournefortia	bicolor	Boraginaceae	l
TOURCU	Tournefortia	cuspidata	Boraginaceae	l
TOURHI	Tournefortia	hirsutissima	Boraginaceae	l
TOVOLO	Tovomita	longifolia	Clusiaceae	
TOVO1	Tovomita	sp.1	Clusiaceae	
TOVOST	Tovomita	stylosa	Clusiaceae	
TOVOWE	Tovomita	weddelliana	Clusiaceae	
TRATAS	Trattinnickia	aspera	Burseraceae	
TRATBU	Trattinnickia	burserifolia	Burseraceae	
TREMIN	Trema	integerrima	Ulmaceae	
TREMMI	Trema	micrantha	Ulmaceae	
TRI1GI	Trichanthera	gigantea	Acanthaceae	
TRI2HI	Trichilia	hirta	Meliaceae	
TRI2TO	Trichilia	martiana	Meliaceae	
TRI2PA	Trichilia	pallida	Meliaceae	
TRI2PL	Trichilia	pleeana	Meliaceae	
TRI2PO	Trichilia	poeppigii	Meliaceae	
TRI2QU	Trichilia	quadrijuga	Meliaceae	
TRI2SE	Trichilia	septentrionalis	Meliaceae	
TRI21	Trichilia	sp.1	Meliaceae	
TRI22	Trichilia	sp.2	Meliaceae	
TRI2TR	Trichilia	trifolia	Meliaceae	
TRI2TU	Trichilia	tuberculata	Meliaceae	
TRI4GA	Trichospermum	galeottii	Tiliaceae	
TRIGRU	Trigonia	rugosa	Trigoniaceae	l
TRIPCU	Triplaris	cumingiana	Polygonaceae	
TRIUBO	Triumfetta	bogotensis	Tiliaceae	
TRIULA	Triumfetta	lappula	Tiliaceae	
OLMEAS	Trophis	caucana	Moraceae	
TROPRA	Trophis	racemosa	Moraceae	
TURNPA	Turnera	panamensis	Turneraceae	
TURPOC	Turpinia	occidentalis	Staphyleaceae	
TYNNCR	Tynnanthus	croatianus	Bignoniaceae	l
ULMUME	Ulmus	mexicana	Ulmaceae	
UNCATO	Uncaria	tomentosa	Rubiaceae	l
UN2_SH	Unidentified	(sherman)	Unidentified	
UN1M39	Unidentified	monitoreo_39	Unidentified	
UN1M40	Unidentified	monitoreo_40	Unidentified	
UN1M41	Unidentified	monitoreo_41_1	Unidentified	
UN1_M9	Unidentified	monitoreo_9	Unidentified	
UNIDEN	Unidentified	species	Unidentified	
UNON3	Unonopsis	'peludo'	Annonaceae	
UNONBU	Unonopsis	bullata	Annonaceae	
UNONPA	Unonopsis	panamensis	Annonaceae	
UNONPI	Unonopsis	pittieri	Annonaceae	
UNON1	Unonopsis	sp.1	Annonaceae	
UNON2	Unonopsis	sp.2	Annonaceae	
UNONTH	Unonopsis	theobromifolia	Annonaceae	
UNONVE	Unonopsis	veneficiorum	Annonaceae	
URERBA	Urera	baccifera	Urticaceae	
URERCA	Urera	caracasana	Urticaceae	
UREREG	Urera	eggersii	Urticaceae	
UREREG	Urera	eggersii	Urticaceae	l
UREREL	Urera	elata	Urticaceae	
URERLA	Urera	laciniata	Urticaceae	
URERLI	Urera	lianoides	Urticaceae	l
VANTDE	Vantanea	depleta	Humiriaceae	
CARICA	Vasconcellea	cauliflora	Caricaceae	
VATAER	Vatairea	erythrocarpa	Fabaceae:Papil.	
VERBGI	Verbesina	gigantea	Asteraceae	
VERBLA	Verbesina	lanata	Asteraceae	
VERNPA	Vernonanthura	patens	Asteraceae	
VIBUCO	Viburnum	costaricanum	Caprifoliaceae	
VIROEL	Virola	elongata	Myristicaceae	
VIROGU	Virola	guatemalensis	Myristicaceae	
VIROKO	Virola	koschnyi	Myristicaceae	
VIROMA	Virola	macrocarpa	Myristicaceae	
VIROME	Virola	megacarpa	Myristicaceae	
VIROSP	Virola	multiflora	Myristicaceae	
VIROSE	Virola	sebifera	Myristicaceae	
VIRO1	Virola	sp.1	Myristicaceae	
VIRO2	Virola	sp.2	Myristicaceae	
VIROSU	Virola	surinamensis	Myristicaceae	
VISMBA	Vismia	baccifera	Clusiaceae	
VISMBI	Vismia	billbergiana	Clusiaceae	
VISMJE	Vismia	jefensis	Clusiaceae	
VISMMA	Vismia	macrophylla	Clusiaceae	
VITECO	Vitex	cooperi	Verbenaceae	
VITECY	Vitex	cymosa	Verbenaceae	
VITITI	Vitis	tiliifolia	Vitaceae	l
VOCHFE	Vochysia	ferruginea	Vochysiaceae	
VOCHHO	Vochysia	guatemalensis	Vochysiaceae	
VOCHJE	Vochysia	jefensis	Vochysiaceae	
VOCH1	Vochysia	sp.1	Vochysiaceae	
WALTGL	Waltheria	glomerata	Sterculiaceae	
WARSCO	Warszewiczia	coccinea	Rubiaceae	
WELFRE	Welfia	regia	Arecaceae	
WERCCO	Wercklea	cocleana	Malvaceae	
WERCIN	Wercklea	insignis	Malvaceae	
WERCWO	Wercklea	woodsonii	Malvaceae	
WETTHI	Wettinia	quinaria	Arecaceae	
WITHSO	Witheringia	solanacea	Solanaceae	
XIMEAM	Ximenia	americana	Olacaceae	
XYL3SE	Xylophragma	seemannianum	Bignoniaceae	l
XYL14	Xylopia	'roubik'	Annonaceae	
XYL1AR	Xylopia	aromatica	Annonaceae	
XYL1BO	Xylopia	bocatorena	Annonaceae	
XYL1FR	Xylopia	frutescens	Annonaceae	
XYL1MA	Xylopia	macrantha	Annonaceae	
XYL1SE	Xylopia	sericea	Annonaceae	
XYL2CH	Xylosma	chlorantha	Flacourtiaceae	
XYL2OL	Xylosma	oligandra	Flacourtiaceae	
XYL2PA	Xylosma	panamensis	Flacourtiaceae	
ZAMIEL	Zamia	elegantissimia	Cycadaceae	
ZANTPR	Zanthoxylum	acuminatum	Rutaceae	
ZANTBE	Zanthoxylum	ekmanii	Rutaceae	
ZANTME	Zanthoxylum	melanostictum	Rutaceae	
ZANTP1	Zanthoxylum	panamense	Rutaceae	
ZANTSE	Zanthoxylum	setulosum	Rutaceae	
ZANT1	Zanthoxylum	sp.1	Rutaceae	
ZIZICI	Ziziphus	chloroxylon	Rhamnaceae	
ZIZIMA	Ziziphus	mauritiana	Rhamnaceae	
ZIZIST	Ziziphus	strychnifolia	Rhamnaceae	
ZUELGU	Zuelania	guidonia	Flacourtiaceae	
PIT1DI	Zygia	dinizii	Fabaceae:Mimos.	
ZYGIEN	Zygia	englesingii	Fabaceae:Mimos.	
ZYGILA	Zygia	latifolia	Fabaceae:Mimos.	
ZYGILO	Zygia	longifolia	Fabaceae:Mimos.	
ZYGI1	Zygia	sp.1	Fabaceae:Mimos.	
ZYGI2	Zygia	sp.2	Fabaceae:Mimos.	
